country,year,name,artists,rank,genre
ca,2018,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",6,Synthpop
ca,2018,God's Plan,['Drake'],7,Pop Rap
ca,2018,Without Me,['Halsey'],8,Contemporary R&B
ca,2018,Better Now,['Post Malone'],9,Pop Rap
ca,2018,Happier,"['Marshmello', 'Bastille']",10,Electropop
ca,2019,Circles,['Post Malone'],1,Indie Pop
ca,2019,HIGHEST IN THE ROOM,['Travis Scott'],2,Pop Rap
ca,2019,Señorita,"['Shawn Mendes', 'Camila Cabello']",3,Contemporary R&B
ca,2019,ROXANNE,['Arizona Zervas'],4,Pop Rap
ca,2019,Blinding Lights,['The Weeknd'],5,Synthpop
ca,2019,ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie']",6,Pop
ca,2019,Heartless,['The Weeknd'],7,Pop Rap
ca,2019,Old Town Road (feat. Billy Ray Cyrus) - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",8,Pop Rap
ca,2019,bad guy,['Billie Eilish'],9,Alternative Pop
ca,2019,Money In The Grave (Drake ft. Rick Ross),"['Drake', 'Rick Ross']",10,Trap
ca,2020,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",1,Pop Rap
ca,2020,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",2,Trap
ca,2020,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",3,Trap
ca,2020,All I Want for Christmas Is You,['Mariah Carey'],4,Christmas
ca,2020,positions,['Ariana Grande'],5,Contemporary R&B
ca,2020,"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",6,Trap
ca,2020,willow,['Taylor Swift'],7,Folk Pop
ca,2020,Rockin' Around The Christmas Tree,['Brenda Lee'],8,Christmas
ca,2020,Laugh Now Cry Later (feat. Lil Durk),"['Drake', 'Lil Durk']",9,Trap
ca,2020,Blinding Lights,['The Weeknd'],10,Synthpop
ca,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",1,Synthpop
ca,2021,Easy On Me,['Adele'],2,Adult Contemporary
ca,2021,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",3,Trap
ca,2021,good 4 u,['Olivia Rodrigo'],4,Pop Rock
