country,year,track_id,name,artists,duration,artist_genres,explicit,total_streams,weeks_on_chart,average_streams,rank
no,2022,59CfNbkERJ3NoTXDvoURjj,Boyfriend,['Dove Cameron'],153000,"['pop', 'post-teen pop']",true,3157762,16,197360.125,95
no,2022,2USlegnFJLrVLpoVfPimKB,Thunder,"['Gabry Ponte', 'LUM!X', 'Prezioso']",160000,"['italo dance', 'slap house', 'europop', 'tropical house', 'edm', 'pop dance', 'melbourne bounce international', 'eurodance']",false,8663561,44,196899.11363636365,96
no,2022,4ZRsZEmqhGErhoKWPt3YuZ,Spor i snøen,['Jonas Benyoub'],163488,"['norwegian pop rap', 'norwegian pop', 'norwegian hip hop']",false,1563906,8,195488.25,97
no,2022,4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),"['Kygo', 'DNCE']",215203,"['dance pop', 'uk pop', 'tropical house', 'edm', 'pop dance', 'pop', 'post-teen pop']",false,6634116,34,195121.0588235294,98
no,2022,2xV8E6JUiSTAgrFra3b762,Himmelen Og Helvete,['TIX'],172705,"['eurovision', 'norwegian pop', 'russelater']",true,962678,5,192535.6,99
no,2022,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,"['Lost Frequencies', 'Calum Scott']",148197,"['pop', 'uk pop', 'neo mellow', 'edm', 'pop dance', 'tropical house', 'belgian edm']",false,8470285,44,192506.47727272726,100
no,2022,5TJEBoTCDbJXiKMdCN9pd3,Hold Me Closer,"['Elton John', 'Britney Spears']",202245,"['pop', 'mellow gold', 'glam rock', 'piano rock', 'dance pop']",false,2113487,11,192135.18181818182,101
no,2022,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,['Tate McRae'],206772,['pop'],false,3823595,20,191179.75,102
no,2022,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,['Lizzo'],191822,"['minnesota hip hop', 'trap queen', 'pop', 'escape room']",true,4944467,26,190171.8076923077,103
no,2022,2B4GHvToeLTOBB4QLzW3Ni,Pepas,['Farruko'],287120,"['latin hip hop', 'reggaeton', 'trap latino']",true,7758622,41,189234.68292682926,104
no,2022,18asYwWugKjjsihZ0YvRxO,The Motto,"['Tiësto', 'Ava Max']",164818,"['pop', 'big room', 'trance', 'tropical house', 'pop dance', 'dutch edm', 'house', 'slap house', 'dance pop', 'brostep', 'edm']",false,7738177,41,188736.0243902439,105
no,2022,1zS7wXUlPhxdOgGZ7RorQ2,Hello World,"['Alan Walker', 'Torine']",171585,['electro house'],false,1884359,10,188435.9,106
no,2022,1beuDJXaekLPtvX1jQe0yx,Creme De La Creme,['Kamelen'],159522,"['norwegian trap', 'norwegian pop rap', 'norwegian pop']",true,8648705,46,188015.3260869565,107
no,2022,06JvOZ39sK8D8SqiqfaxDU,True Love,"['Kanye West', 'XXXTENTACION']",148571,"['miami hip hop', 'chicago rap', 'emo rap', 'rap']",false,749910,4,187477.5,108
no,2022,0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,['Shawn Mendes'],172266,"['dance pop', 'viral pop', 'pop', 'canadian pop']",false,1120332,6,186722.0,109
no,2022,0P88fVbvRQGgRQN1GulQNy,Glad U Came (feat. ZieZie),"['Liilz', 'ZieZie']",125142,"['uk hip hop', 'melodic drill']",true,1856467,10,185646.7,110
no,2022,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",141805,"['australian hip hop', 'pop', 'canadian pop']",true,8143362,44,185076.4090909091,111
no,2022,4rU71m6Drus4eG3S4AQu3e,Hot Boy Summer (Daydream 2022),['Ballinciaga'],143573,['norwegian pop'],false,6815548,37,184204.0,112
no,2022,2vHzOWRKYPLu8umRPIFuOq,Stefania (Kalush Orchestra),"['KALUSH', 'Kalush Orchestra']",179545,"['ukrainian hip hop', 'ukrainian pop', 'ukrainian viral pop']",false,727194,4,181798.5,113
no,2022,6D2Hxj0e7gZojlFBV1fKBx,Hjerteknuser,['rOlfFa'],263226,"['norwegian pop', 'sami', 'nordnorsk musikk']",false,2357845,13,181372.6923076923,114
no,2022,20R6MFfByX8wWVoZKEQRq8,Ha Mer,"['Oskar Westerlin', 'Den BB', 'ZL']",132000,"['norwegian pop', 'russelater']",false,540152,3,180050.66666666666,115
no,2022,3nG8AgNEqt9icT5unQBl1a,Peroni & Perignon,['UNDERGRUNN'],180090,"['norwegian trap', 'norwegian pop rap', 'norwegian pop']",true,6293748,35,179821.37142857144,116
no,2022,6gPPoRYJwCsoB2VVdPJfmo,Miserable Man,['David Kushner'],232991,['gen z singer-songwriter'],false,2156919,12,179743.25,117
no,2022,5ZvbkHsbj4KE2TKiOhmdxy,All Night (BAR 2023) [feat. Draken & Slim Shahin],"['b.G', 'Blond Juan', 'Bølla', 'Draken', 'Slim Shahin']",193170,['russelater'],false,2334588,13,179583.6923076923,118
no,2022,6ztcxDt6rVmqMGi0t4wOiT,leilo brenner - Spotify Studio It´s Hits Recording,"['Ramón', 'Victor Leksell']",143197,"['norwegian pop', 'norwegian pop rap', 'swedish idol pop', 'swedish pop']",false,2322930,13,178686.92307692306,119
no,2022,11jif7NuzvCX2MD9JfegJY,Gjør Med Meg,['TIX'],163066,"['eurovision', 'norwegian pop', 'russelater']",false,880074,5,176014.8,120
no,2022,0gG0dF1yexUsE8OO7mq8Kn,Suksé 2022 (Hjemmesmæck),"['Sportsalleen', 'gangCBang']",146869,"['russelater', 'hjemmesnekk']",false,6858327,39,175854.53846153847,121
no,2022,2FeBslNBMdR9V58uv6hd2t,N95,['Kendrick Lamar'],195950,"['conscious hip hop', 'west coast rap', 'hip hop', 'rap']",true,877781,5,175556.2,122
no,2022,2JYzQ9ihEfGLapWQ2OpAna,BARAF/FAIRUZ,"['Karpe', 'Jonas Benyoub', 'Emilie Nicolas', 'Omar Sheriff', 'Harpreet Bansal']",308970,"['norwegian pop', 'norwegian singer-songwriter', 'norwegian hip hop', 'norwegian pop rap', 'norwegian indie']",true,4012713,23,174465.78260869565,123
no,2022,1SOClUWhOi8vHZYMz3GluK,inf,['Jaymes Young'],237720,"['modern rock', 'pop', 'uk pop']",false,3998550,23,173850.0,124
no,2022,7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,['Dylan Conrique'],205280,"['social media pop', 'alt z']",false,2259354,13,173796.46153846153,125
